dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
9.55864937321655e-17,2.8553029972121413,0.2,0.02,5e-09
5.374094374663813e-17,4.025423153771439,0.2,0.02,5e-09
2.729496964730579e-17,5.675065512395874,0.2,0.02,5e-09
1.444698148878481e-17,8.000741124522708,0.2,0.02,5e-09
7.554608396655794e-18,11.279492439657256,0.2,0.02,5e-09
3.3350918461064506e-18,15.90189555144181,0.2,0.02,5e-09
1.3858126004606721e-18,22.418586960518287,0.2,0.02,5e-09
5.747538977497048e-19,31.605857281634012,0.2,0.02,5e-09
2.3420597135859006e-19,44.55812564218471,0.2,0.02,5e-09
9.449982459102438e-20,62.81831063947881,0.2,0.02,5e-09
3.7572915186549003e-20,88.56162809196152,0.2,0.02,5e-09
1.4943018236587257e-20,124.85471020243885,0.2,0.02,5e-09
6.0321592595690384e-21,176.02091329608157,0.2,0.02,5e-09
2.402075754315271e-21,248.15533084294873,0.2,0.02,5e-09
9.641138834520523e-22,349.8508618813319,0.2,0.02,5e-09
3.8631383826021525e-22,493.22182660090334,0.2,0.02,5e-09
1.5562652108417852e-22,695.3470656820822,0.2,0.02,5e-09
6.34354535207298e-23,980.3044303307337,0.2,0.02,5e-09
2.5452337904294283e-23,1382.039018433766,0.2,0.02,5e-09
1.0268911099728519e-23,1948.4068309565441,0.2,0.02,5e-09
4.1068527817789074e-24,2746.8755427906613,0.2,0.02,5e-09
1.639764861649565e-24,3872.561483413205,0.2,0.02,5e-09
6.618352530019248e-25,5459.56022003811,0.2,0.02,5e-09
2.6029063381999647e-25,7696.920481156926,0.2,0.02,5e-09
1.0274789869868627e-25,10851.16428898726,0.2,0.02,5e-09
4.020166778808498e-26,15298.035976187428,0.2,0.02,5e-09
1.5584955634238186e-26,21567.26213851904,0.2,0.02,5e-09
6.096605242469063e-27,30405.654482420672,0.2,0.02,5e-09
2.311350784409594e-27,42866.07259496282,0.2,0.02,5e-09
8.712396916176218e-28,60432.84418623487,0.2,0.02,5e-09
3.2005824694420863e-28,85198.58329328035,0.2,0.02,5e-09
1.1607491304282716e-28,120113.46963602628,0.2,0.02,5e-09
4.1505547700925653e-29,169336.68413641874,0.2,0.02,5e-09
1.4338589801940617e-29,238731.8648042508,0.2,0.02,5e-09
4.848853974934947e-30,336565.60339283146,0.2,0.02,5e-09
1.58866766467384e-30,474492.1901400215,0.2,0.02,5e-09
5.096109385624259e-31,668941.9127631214,0.2,0.02,5e-09
1.6053301803978191e-31,943078.2886418686,0.2,0.02,5e-09
4.8871744187078905e-32,1329557.382395053,0.2,0.02,5e-09
1.4848726430537228e-32,1874417.9082172392,0.2,0.02,5e-09
4.539545900733646e-33,2642565.5192981586,0.2,0.02,5e-09
1.3981881696884266e-33,3725504.5916762734,0.2,0.02,5e-09
4.416888682746564e-34,5252238.53911756,0.2,0.02,5e-09
1.433769631721696e-34,7404637.141885661,0.2,0.02,5e-09
4.589223720881001e-35,10439101.498273656,0.2,0.02,5e-09
1.5134497565694352e-35,14717107.402174173,0.2,0.02,5e-09
5.197085270543605e-36,20748265.57850291,0.2,0.02,5e-09
2.308019095185464e-16,1.019,0.4,0.02,5e-09
