dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
5.823714225163272e-21,292.8314152043025,1.0,0.01,5e-09
2.3389860307379602e-21,415.1370983957204,1.0,0.01,5e-09
9.235660108498842e-22,588.5256892406197,1.0,0.01,5e-09
3.651806534578622e-22,834.3327740032128,1.0,0.01,5e-09
1.4495247222109383e-22,1182.8050848113287,1.0,0.01,5e-09
5.795325250134479e-23,1676.8223810061515,1.0,0.01,5e-09
2.28236682035382e-23,2377.173833245434,1.0,0.01,5e-09
8.868467740957053e-24,3370.038173080696,1.0,0.01,5e-09
3.4449260270491224e-24,4777.588045597714,1.0,0.01,5e-09
1.3483343155791254e-24,6773.023438061691,1.0,0.01,5e-09
5.260281440150409e-25,9601.884058380307,1.0,0.01,5e-09
2.0041158691800696e-25,13612.263166324245,1.0,0.01,5e-09
7.582748849249209e-26,19297.640690375494,1.0,0.01,5e-09
2.8504668731983237e-26,27357.60627491569,1.0,0.01,5e-09
1.0737698404987083e-26,38783.94427079287,1.0,0.01,5e-09
3.992416182476947e-27,54982.673487013606,1.0,0.01,5e-09
1.4310023424768368e-27,77947.05877958263,1.0,0.01,5e-09
5.083552439258292e-28,110502.88367339497,1.0,0.01,5e-09
1.7865517285830777e-28,156656.1649832815,1.0,0.01,5e-09
6.162766131206528e-29,222086.0959593013,1.0,0.01,5e-09
2.0532081220751622e-29,314843.874951923,1.0,0.01,5e-09
6.58579331307574e-30,446343.4109486418,1.0,0.01,5e-09
2.0897252703581953e-30,632765.8129848948,1.0,0.01,5e-09
6.478288766580843e-31,897050.4868246074,1.0,0.01,5e-09
1.978071682744213e-31,1271717.8447367798,1.0,0.01,5e-09
5.783025797374575e-32,1802870.964762285,1.0,0.01,5e-09
1.7224313291412206e-32,2555868.6064168955,1.0,0.01,5e-09
5.1465775881740216e-33,3623367.6513442476,1.0,0.01,5e-09
1.5933004542889162e-33,5136724.596814592,1.0,0.01,5e-09
4.981028028037491e-34,7282159.063745853,1.0,0.01,5e-09
1.5485181957133831e-34,10323668.250110406,1.0,0.01,5e-09
4.990610864948004e-35,14635511.969099307,1.0,0.01,5e-09
1.6774582010864532e-35,20748265.57850291,1.0,0.01,5e-09
5.4135467201906965e-15,0.7759999999999999,0.0,0.02,5e-09
3.039169467231208e-15,1.100108702921523,0.0,0.02,5e-09
1.6624563328784133e-15,1.5595865441284484,0.0,0.02,5e-09
8.6006647283116e-16,2.2109725904059383,0.0,0.02,5e-09
3.909170758958534e-16,3.1344203461681928,0.0,0.02,5e-09
1.5352174519941436e-16,4.443560697724126,0.0,0.02,5e-09
5.706803310693005e-17,6.299484272585499,0.0,0.02,5e-09
2.1678177475247742e-17,8.930563752820321,0.0,0.02,5e-09
8.096663803052059e-18,12.660555291846817,0.0,0.02,5e-09
2.9408138964477792e-18,17.948436933479158,0.0,0.02,5e-09
1.0303850848636096e-18,25.444886178297057,0.0,0.02,5e-09
3.5432992096291995e-19,36.07234630102085,0.0,0.02,5e-09
1.2427649641286002e-19,51.13853363473202,0.0,0.02,5e-09
4.5589754193330686e-20,72.4973529719249,0.0,0.02,5e-09
1.7842740769436504e-20,102.77702183400542,0.0,0.02,5e-09
7.155223167288651e-21,145.70347445869163,0.0,0.02,5e-09
2.8748812137414478e-21,206.55884059009097,0.0,0.02,5e-09
1.1555819938036412e-21,292.8314152043025,0.0,0.02,5e-09
4.709997944076594e-22,415.1370983957204,0.0,0.02,5e-09
1.8953247701991148e-22,588.5256892406197,0.0,0.02,5e-09
7.689061480815512e-23,834.3327740032128,0.0,0.02,5e-09
3.0900239083260786e-23,1182.8050848113287,0.0,0.02,5e-09
1.2327450410865355e-23,1676.8223810061515,0.0,0.02,5e-09
4.9804085622066196e-24,2377.173833245434,0.0,0.02,5e-09
1.9774219659351516e-24,3370.038173080696,0.0,0.02,5e-09
7.8651877777392235e-25,4777.588045597714,0.0,0.02,5e-09
