eps2,mass,e,flux
5e-09,0.04,3.56272867012689,4.708477091420737e-14
5e-09,0.04,4.273242102864648,3.0284664650697305e-14
5e-09,0.04,5.125452921186028,1.765289566308116e-14
5e-09,0.04,6.147619773212385,1.1172530440203244e-14
5e-09,0.04,7.373636916997876,6.680828575994385e-15
5e-09,0.04,8.844158127772937,4.268557504865155e-15
5e-09,0.04,10.607944745521664,2.529117485248978e-15
5e-09,0.04,12.723482563102534,1.5753304715414638e-15
5e-09,0.04,15.260921169665588,9.447408476929707e-16
5e-09,0.04,18.30440005648556,5.770693864903545e-16
5e-09,0.04,21.954838617072213,3.4530982867209926e-16
5e-09,0.04,26.333282555791758,2.1129721880788024e-16
5e-09,0.04,31.584917669307885,1.2362157732158637e-16
5e-09,0.04,37.883884094713515,7.46011126199524e-17
5e-09,0.04,45.43905066107897,4.357876454020515e-17
5e-09,0.04,54.5009408174232,2.5422165355156514e-17
5e-09,0.04,65.37003979549537,1.5384947289695688e-17
5e-09,0.04,78.40675846642554,9.383257999017748e-18
5e-09,0.04,94.04338428498275,5.389914838819426e-18
5e-09,0.04,112.79841560546205,3.1635589122652546e-18
5e-09,0.04,135.29375468396742,1.847955852853906e-18
5e-09,0.04,162.27532947368118,1.0529021935772278e-18
5e-09,0.04,194.63782801581382,6.086705659803178e-19
5e-09,0.04,233.45436559941044,3.5114529157046476e-19
5e-09,0.04,280.0120684299615,1.907032924509658e-19
5e-09,0.04,335.85475373360737,1.0071671281193365e-19
5e-09,0.04,402.8341215360003,5.384039970884011e-20
5e-09,0.04,483.1711555954168,2.7300684256257985e-20
5e-09,0.04,579.5297694973116,1.3768259565271394e-20
5e-09,0.04,695.1051399575583,6.6011406240292795e-21
5e-09,0.04,833.7296563980192,2.903817642891483e-21
5e-09,0.04,1000.0,1.1523130668388674e-21
5e-09,0.045,0.13497,8.748281063408706e-13
5e-09,0.045,0.16188700853357427,6.840098242813011e-13
5e-09,0.045,0.19417206439912238,4.58399756762852e-13
5e-09,0.045,0.23289571494674718,3.8287231162325897e-13
5e-09,0.045,0.27934200632004846,2.9406357819138226e-13
5e-09,0.045,0.33505106142786867,2.4961000253591067e-13
5e-09,0.045,0.401870149222468,1.9767292812755458e-13
5e-09,0.045,0.4820149387016851,1.6876463665906252e-13
5e-09,0.045,0.578142968770171,1.0752556784817609e-12
5e-09,0.045,0.6934417701631669,8.35539963931528e-13
5e-09,0.045,0.8317345614873042,7.288338312887198e-13
5e-09,0.045,0.9976070241769568,5.518332514801548e-13
5e-09,0.045,1.1965593601251292,3.9736735824275417e-13
5e-09,0.045,1.4351886741016888,2.9718703819748973e-13
5e-09,0.045,1.721407728618132,2.05830314966786e-13
5e-09,0.045,2.064707324980101,1.4636692543236634e-13
5e-09,0.045,2.4764710108793575,9.777603895385532e-14
5e-09,0.045,2.9703525499842622,6.45554256044016e-14
5e-09,0.045,3.56272867012689,3.93886883943853e-14
5e-09,0.045,4.273242102864648,2.5099861716750017e-14
5e-09,0.045,5.125452921186028,1.4786774178577314e-14
5e-09,0.045,6.147619773212385,9.245497060352299e-15
5e-09,0.045,7.373636916997876,5.581478963210922e-15
5e-09,0.045,8.844158127772937,3.525459364777104e-15
5e-09,0.045,10.607944745521664,2.103237771764122e-15
5e-09,0.045,12.723482563102534,1.289751566980152e-15
5e-09,0.045,15.260921169665588,7.801108485829031e-16
5e-09,0.045,18.30440005648556,4.677148987098373e-16
5e-09,0.045,21.954838617072213,2.818075971633651e-16
5e-09,0.045,26.333282555791758,1.694423037836223e-16
5e-09,0.045,31.584917669307885,1.0013497130778219e-16
5e-09,0.045,37.883884094713515,5.933541864982086e-17
5e-09,0.045,45.43905066107897,3.502646419240119e-17
5e-09,0.045,54.5009408174232,1.9987450808804932e-17
5e-09,0.045,65.37003979549537,1.2329371259851576e-17
5e-09,0.045,78.40675846642554,7.41656239600959e-18
5e-09,0.045,94.04338428498275,4.316999139980435e-18
5e-09,0.045,112.79841560546205,2.4979458394279e-18
5e-09,0.045,135.29375468396742,1.487004891880023e-18
5e-09,0.045,162.27532947368118,8.35278935455093e-19
5e-09,0.045,194.63782801581382,4.913243827416349e-19
5e-09,0.045,233.45436559941044,2.8019848677874917e-19
5e-09,0.045,280.0120684299615,1.540160812193458e-19
5e-09,0.045,335.85475373360737,8.008256097140116e-20
5e-09,0.045,402.8341215360003,4.349723571846369e-20
5e-09,0.045,483.1711555954168,2.1802451736369032e-20
5e-09,0.045,579.5297694973116,1.1188389364521167e-20
5e-09,0.045,695.1051399575583,5.321960965235276e-21
5e-09,0.045,833.7296563980192,2.3635083181529925e-21
5e-09,0.045,1000.0,9.177520452551737e-22
5e-09,0.05,0.13497,3.1584060682665317e-13
5e-09,0.05,0.16188700853357427,2.415595208071321e-13
5e-09,0.05,0.19417206439912238,1.53789102772188e-13
5e-09,0.05,0.23289571494674718,1.2773219924229197e-13
5e-09,0.05,0.27934200632004846,9.71061988932187e-14
5e-09,0.05,0.33505106142786867,8.224072142294934e-14
5e-09,0.05,0.401870149222468,6.487818107111739e-14
5e-09,0.05,0.4820149387016851,5.53508539201789e-14
5e-09,0.05,0.578142968770171,8.915172521403072e-13
5e-09,0.05,0.6934417701631669,6.900062300044995e-13
5e-09,0.05,0.8317345614873042,6.214990899055421e-13
5e-09,0.05,0.9976070241769568,4.710656844144392e-13
5e-09,0.05,1.1965593601251292,3.426352169077387e-13
5e-09,0.05,1.4351886741016888,2.5602787704986226e-13
5e-09,0.05,1.721407728618132,1.7819327965410687e-13
5e-09,0.05,2.064707324980101,1.262699500402377e-13
5e-09,0.05,2.4764710108793575,8.47099202096652e-14
5e-09,0.05,2.9703525499842622,5.566075250834581e-14
5e-09,0.05,3.56272867012689,3.419803059603076e-14
5e-09,0.05,4.273242102864648,2.1641452860157277e-14
5e-09,0.05,5.125452921186028,1.2862574645671005e-14
5e-09,0.05,6.147619773212385,7.969804472212616e-15
5e-09,0.05,7.373636916997876,4.847665656450578e-15
5e-09,0.05,8.844158127772937,3.035912967454063e-15
5e-09,0.05,10.607944745521664,1.8210978459897005e-15
5e-09,0.05,12.723482563102534,1.103272854939012e-15
5e-09,0.05,15.260921169665588,6.72123759800716e-16
5e-09,0.05,18.30440005648556,3.977596720071483e-16
5e-09,0.05,21.954838617072213,2.4089857077848264e-16
5e-09,0.05,26.333282555791758,1.4267556853202626e-16
5e-09,0.05,31.584917669307885,8.494766170708749e-17
5e-09,0.05,37.883884094713515,4.962430934946931e-17
5e-09,0.05,45.43905066107897,2.952824700606042e-17
5e-09,0.05,54.5009408174232,1.6555669321295337e-17
5e-09,0.05,65.37003979549537,1.0365188776649781e-17
5e-09,0.05,78.40675846642554,6.165405832952551e-18
5e-09,0.05,94.04338428498275,3.628263201577345e-18
5e-09,0.05,112.79841560546205,2.077330922719014e-18
5e-09,0.05,135.29375468396742,1.2544029147112462e-18
5e-09,0.05,162.27532947368118,6.953921299795024e-19
5e-09,0.05,194.63782801581382,4.143732764837402e-19
5e-09,0.05,233.45436559941044,2.3451141115497774e-19
5e-09,0.05,280.0120684299615,1.3024687435766433e-19
5e-09,0.05,335.85475373360737,6.693897100433377e-20
5e-09,0.05,402.8341215360003,3.675824173229058e-20
5e-09,0.05,483.1711555954168,1.8241542220714483e-20
5e-09,0.05,579.5297694973116,9.478044097564622e-21
5e-09,0.05,695.1051399575583,4.4797688095605994e-21
5e-09,0.05,833.7296563980192,2.0050214149812037e-21
5e-09,0.05,1000.0,7.681473323476104e-22
5e-09,0.055,0.13497,8.12885931224437e-14
5e-09,0.055,0.16188700853357427,6.026821532440208e-14
5e-09,0.055,0.19417206439912238,3.544944839922639e-14
5e-09,0.055,0.23289571494674718,2.9238579534593195e-14
5e-09,0.055,0.27934200632004846,2.1942313641333537e-14
5e-09,0.055,0.33505106142786867,1.853310745861609e-14
5e-09,0.055,0.401870149222468,1.455252390211344e-14
5e-09,0.055,0.4820149387016851,1.2400660087896263e-14
5e-09,0.055,0.578142968770171,7.744550159997548e-13
5e-09,0.055,0.6934417701631669,5.976580260985552e-13
5e-09,0.055,0.8317345614873042,5.524521718770787e-13
5e-09,0.055,0.9976070241769568,4.192239394816962e-13
5e-09,0.055,1.1965593601251292,3.0671758944429464e-13
5e-09,0.055,1.4351886741016888,2.2928488760228686e-13
5e-09,0.055,1.721407728618132,1.6022174254207083e-13
5e-09,0.055,2.064707324980101,1.133266123873629e-13
5e-09,0.055,2.4764710108793575,7.616457232720217e-14
5e-09,0.055,2.9703525499842622,4.992021982014565e-14
5e-09,0.055,3.56272867012689,3.077564380285161e-14
5e-09,0.055,4.273242102864648,1.9393571715706505e-14
5e-09,0.055,5.125452921186028,1.159178923668862e-14
5e-09,0.055,6.147619773212385,7.144299649915357e-15
5e-09,0.055,7.373636916997876,4.366328677574691e-15
5e-09,0.055,8.844158127772937,2.7207659148190087e-15
5e-09,0.055,10.607944745521664,1.6375294741369034e-15
5e-09,0.055,12.723482563102534,9.84669278698556e-16
5e-09,0.055,15.260921169665588,6.027675434255509e-16
5e-09,0.055,18.30440005648556,3.541669469842297e-16
5e-09,0.055,21.954838617072213,2.150747309414549e-16
5e-09,0.055,26.333282555791758,1.2621013137197178e-16
5e-09,0.055,31.584917669307885,7.551828193526378e-17
5e-09,0.055,37.883884094713515,4.367233649229234e-17
5e-09,0.055,45.43905066107897,2.607040873695884e-17
5e-09,0.055,54.5009408174232,1.4489508174994366e-17
5e-09,0.055,65.37003979549537,9.15313349946201e-18
5e-09,0.055,78.40675846642554,5.407364015399489e-18
5e-09,0.055,94.04338428498275,3.202223819550821e-18
5e-09,0.055,112.79841560546205,1.8212412420048626e-18
5e-09,0.055,135.29375468396742,1.1083005611492815e-18
5e-09,0.055,162.27532947368118,6.101767924485196e-19
5e-09,0.055,194.63782801581382,3.661511302420944e-19
5e-09,0.055,233.45436559941044,2.064272427271077e-19
5e-09,0.055,280.0120684299615,1.1534636093535122e-19
5e-09,0.055,335.85475373360737,5.88897948461186e-20
5e-09,0.055,402.8341215360003,3.250943660116316e-20
5e-09,0.055,483.1711555954168,1.6055778648121946e-20
5e-09,0.055,579.5297694973116,8.39900447700491e-21
5e-09,0.055,695.1051399575583,3.957796810035215e-21
5e-09,0.055,833.7296563980192,1.778448201788259e-21
5e-09,0.055,1000.0,6.762478643641993e-22
5e-09,0.06,0.13497,1.0422768310413858e-14
5e-09,0.06,0.16188700853357427,7.365547907851423e-15
5e-09,0.06,0.19417206439912238,3.759416650664595e-15
5e-09,0.06,0.23289571494674718,3.07351279991933e-15
5e-09,0.06,0.27934200632004846,2.268232860990128e-15
5e-09,0.06,0.33505106142786867,1.909604898072583e-15
5e-09,0.06,0.401870149222468,1.4910315555595676e-15
5e-09,0.06,0.4820149387016851,1.2687706337184761e-15
5e-09,0.06,0.578142968770171,6.913129257334509e-13
5e-09,0.06,0.6934417701631669,5.332235790882438e-13
5e-09,0.06,0.8317345614873042,5.048641979995676e-13
5e-09,0.06,0.9976070241769568,3.8357723671759764e-13
5e-09,0.06,1.1965593601251292,2.814147941290027e-13
5e-09,0.06,1.4351886741016888,2.1059398046082556e-13
5e-09,0.06,1.721407728618132,1.4759083005958128e-13
5e-09,0.06,2.064707324980101,1.043881488197372e-13
5e-09,0.06,2.4764710108793575,7.025923137027811e-14
5e-09,0.06,2.9703525499842622,4.603107196981442e-14
5e-09,0.06,3.56272867012689,2.8426118420774447e-14
5e-09,0.06,4.273242102864648,1.787427014007295e-14
5e-09,0.06,5.125452921186028,1.0713186795883537e-14
5e-09,0.06,6.147619773212385,6.586543741719617e-15
5e-09,0.06,7.373636916997876,4.034565941906452e-15
5e-09,0.06,8.844158127772937,2.5080766841389817e-15
5e-09,0.06,10.607944745521664,1.512075470811793e-15
5e-09,0.06,12.723482563102534,9.058292281469643e-16
5e-09,0.06,15.260921169665588,5.560663172267177e-16
5e-09,0.06,18.30440005648556,3.258630176575961e-16
5e-09,0.06,21.954838617072213,1.979473947198619e-16
5e-09,0.06,26.333282555791758,1.1550714693693546e-16
5e-09,0.06,31.584917669307885,6.93174280365342e-17
5e-09,0.06,37.883884094713515,3.998689038636967e-17
5e-09,0.06,45.43905066107897,2.38901434587938e-17
5e-09,0.06,54.5009408174232,1.3202196727947469e-17
5e-09,0.06,65.37003979549537,8.363197854816164e-18
5e-09,0.06,78.40675846642554,4.932084591792928e-18
5e-09,0.06,94.04338428498275,2.930378724884943e-18
5e-09,0.06,112.79841560546205,1.6622728933541516e-18
5e-09,0.06,135.29375468396742,1.0139432779104282e-18
5e-09,0.06,162.27532947368118,5.571869466540585e-19
5e-09,0.06,194.63782801581382,3.348297530669318e-19
5e-09,0.06,233.45436559941044,1.884732710863297e-19
5e-09,0.06,280.0120684299615,1.0555131833059406e-19
5e-09,0.06,335.85475373360737,5.3877229902812574e-20
5e-09,0.06,402.8341215360003,2.976273942621969e-20
5e-09,0.06,483.1711555954168,1.4682962922714135e-20
5e-09,0.06,579.5297694973116,7.699090364306528e-21
5e-09,0.06,695.1051399575583,3.6295376631154735e-21
5e-09,0.06,833.7296563980192,1.6328833308931121e-21
5e-09,0.06,1000.0,6.196411018667703e-22
5e-09,0.067,0.13497,1.8685196351842568e-19
5e-09,0.067,0.16188700853357427,1.0982957279589307e-19
5e-09,0.067,0.19417206439912238,1.919751622099691e-20
5e-09,0.067,0.23289571494674718,1.5428542222715272e-20
5e-09,0.067,0.27934200632004846,1.1008475873862565e-20
5e-09,0.067,0.33505106142786867,9.215060299884077e-21
5e-09,0.067,0.401870149222468,7.123244643033828e-21
5e-09,0.067,0.4820149387016851,6.046951208018436e-21
5e-09,0.067,0.578142968770171,5.979948046958857e-13
5e-09,0.067,0.6934417701631669,4.617330948619213e-13
5e-09,0.067,0.8317345614873042,4.526574556138907e-13
5e-09,0.067,0.9976070241769568,3.4470990474078267e-13
5e-09,0.067,1.1965593601251292,2.53685880638209e-13
5e-09,0.067,1.4351886741016888,1.9016367629865702e-13
5e-09,0.067,1.721407728618132,1.336704505687951e-13
5e-09,0.067,2.064707324980101,9.46582874295716e-14
5e-09,0.067,2.4764710108793575,6.386075447875462e-14
5e-09,0.067,2.9703525499842622,4.1885706689171545e-14
5e-09,0.067,3.56272867012689,2.592131046998629e-14
5e-09,0.067,4.273242102864648,1.6274833758515787e-14
5e-09,0.067,5.125452921186028,9.775563839272961e-15
5e-09,0.067,6.147619773212385,5.99892002025015e-15
5e-09,0.067,7.373636916997876,3.678607990132907e-15
5e-09,0.067,8.844158127772937,2.2836385523566033e-15
5e-09,0.067,10.607944745521664,1.3787672661567279e-15
5e-09,0.067,12.723482563102534,8.234310930437549e-16
5e-09,0.067,15.260921169665588,5.067547692041174e-16
5e-09,0.067,18.30440005648556,2.967974337688567e-16
5e-09,0.067,21.954838617072213,1.8015239924154874e-16
5e-09,0.067,26.333282555791758,1.0464290777857478e-16
5e-09,0.067,31.584917669307885,6.297402879064553e-17
5e-09,0.067,37.883884094713515,3.628412848457324e-17
5e-09,0.067,45.43905066107897,2.166665051088051e-17
5e-09,0.067,54.5009408174232,1.19677592910055e-17
5e-09,0.067,65.37003979549537,7.58492865181357e-18
5e-09,0.067,78.40675846642554,4.467197589687105e-18
5e-09,0.067,94.04338428498275,2.65567059946049e-18
5e-09,0.067,112.79841560546205,1.5052818349231381e-18
